seqname,tax_id
A00002391,o__Oceanospirillales
A00002396,g__Lactobacillus
A00002397,g__Mycobacterium
A00002394,g__Congregibacter
A00002395,g__Burkholderia
A00002398,g__Salmonella
A00002399,c__Planctomycetia
A00003045,f__Bradyrhizobiaceae
A00003044,g__Candidatus_Arthromitus
A00003047,g__Burkholderia
A00003046,g__Streptococcus
A00003041,f__Rhodobacteraceae
A00003040,g__Selenomonas
A00003043,g__Corynebacterium
A00003042,f__[Acetivibrionaceae]
A00003049,f__Nocardiopsaceae
A00003048,g__Chlamydia
A00000633,g__Acinetobacter
A00000632,g__Acinetobacter
A00000631,f__Acholeplasmataceae
A00000630,g__Yersinia
A00000637,f__Alcaligenaceae
A00000636,f__Beijerinckiaceae
A00000635,g__Aeromonas
A00000634,g__Actinobacillus
A00000639,g__Burkholderia
A00000638,g__Burkholderia
A00002723,g__Eubacterium
A00002722,g__Streptococcus
A00002721,g__Yersinia
A00005112,g__Campylobacter
A00002727,g__Rhizobium
A00005114,g__Amycolatopsis
A00005117,f__Neisseriaceae
A00000099,g__Francisella
A00000098,g__Francisella
A00000097,g__Escherichia
A00000096,g__Escherichia
A00000095,g__Escherichia
A00000094,g__Escherichia
A00000093,g__Escherichia
A00000092,g__Escherichia
A00000091,f__Sphingomonadaceae
A00000090,g__Pectobacterium
A00004134,g__Listeria
A00001943,f__Methanomicrobiaceae
A00004136,g__Actinoplanes
A00004137n0,g__Lactobacillus
A00004137n1,g__Lactobacillus
A00004130,g__Mycobacterium
A00004131,f__Francisellaceae
A00001944,f__Thermococcaceae
A00001945,f__Thermoplasmataceae
A00001948,o__Thermoplasmatales
A00001949,f__Halobacteriaceae
A00004138,g__Serratia
A00004139,g__Methyloversatilis
A00000897,f__Acidimicrobiaceae
A00000896,g__Acetobacter
A00000895,g__Wolbachia
A00000894,g__Vibrio
A00000893,g__Vibrio
A00000892,f__Aeromonadaceae
A00000891,f__Rhodocyclaceae
A00000890,g__Sulfurihydrogenibium
A00003450,g__Methylosinus
A00000899,g__Aggregatibacter
A00000898,f__Pseudonocardiaceae
A00004398,g__Turicibacter
A00004399,g__Burkholderia
A00003983,g__Brucella
A00004390,g__Ruminococcuse1
A00004391,g__Lactobacillus
A00004392,g__Flavobacterium
A00004393,g__Thiothrix
A00004394,g__Bacteroides
A00004395,f__Pseudomonadaceae
A00004396,g__Atopobium
A00003457,g__Bradyrhizobium
A00000022,g__Bacteroides
A00003454,g__Propionibacterium
A00000023,g__Bartonella
A00003455,g__Paracoccus
A00000020,g__Bacteroides
A00002103,g__Streptococcus
A00000793,f__Acaryochloridaceae
A00002102,g__Bacillus
A00000026,g__Bdellovibrio
A00002453,g__Rickettsia
A00000795,g__Desulfatibacillum
A00005332,g__Leptospira
A00000796,g__Desulfitobacterium
A00005335,g__Pseudomonas
A00000025,f__Enterobacteriaceae
A00002106,g__Staphylococcus
A00002105,g__Campylobacter
A00005336,g__Pseudomonas
A00005631,f__Comamonadaceae
A00002947,f__Rhodobacteraceae
A00002946,g__Methylosinus
A00002945,g__Pseudomonas
A00002944,g__Campylobacter
A00002943,g__Thermocrinis
A00002942,g__Brucella
A00002941,g__Mycobacterium
A00002940,g__Sulfobacillus
A00002948,g__Streptococcus
A00001766,g__Prevotella
A00001767,g__Chlamydia
A00001764,s__nucleatum
A00001765,g__Fusobacterium
A00001762,g__Chlamydia
A00001763,g__Chlamydia
A00001760,g__Chlamydia
A00001761,g__Chlamydia
A00001768,g__Bacteroides
A00001769,g__Chlamydia
A00005449,g__Thiomicrospira
A00005448,g__Bradyrhizobium
A00002499,f__Paenibacillaceae
A00002498,g__Corynebacterium
A00002495,g__Bacillus
