tax_id,parent_id,rank,tax_name,root,kingdom,phylum,class,order,family,genus,species
f__Thiotrichaceae,o__Thiotrichales,family,f__Thiotrichaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Thiotrichaceae,,
g__Thiothrix,f__Thiotrichaceae,genus,g__Thiothrix,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Thiotrichaceae,g__Thiothrix,
c__[Leptospirae],p__Spirochaetes,class,c__[Leptospirae],Root,k__Bacteria,p__Spirochaetes,c__[Leptospirae],,,,
o__[Leptospirales],c__[Leptospirae],order,o__[Leptospirales],Root,k__Bacteria,p__Spirochaetes,c__[Leptospirae],o__[Leptospirales],,,
f__Leptospiraceae,o__[Leptospirales],family,f__Leptospiraceae,Root,k__Bacteria,p__Spirochaetes,c__[Leptospirae],o__[Leptospirales],f__Leptospiraceae,,
g__Leptospira,f__Leptospiraceae,genus,g__Leptospira,Root,k__Bacteria,p__Spirochaetes,c__[Leptospirae],o__[Leptospirales],f__Leptospiraceae,g__Leptospira,
s__salivarius,g__Lactobacillus,species,s__salivarius,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__salivarius
g__Lactococcus,f__Streptococcaceae,genus,g__Lactococcus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,
s__lactis,g__Lactococcus,species,s__lactis,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__lactis
g__Lawsonia,f__Desulfovibrionaceae,genus,g__Lawsonia,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Lawsonia,
o__Legionellales,c__Gammaproteobacteria,order,o__Legionellales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,,,
f__Legionellaceae,o__Legionellales,family,f__Legionellaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Legionellaceae,,
g__Legionella,f__Legionellaceae,genus,g__Legionella,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Legionellaceae,g__Legionella,
s__pneumophila,g__Legionella,species,s__pneumophila,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Legionellaceae,g__Legionella,s__pneumophila
f__Microbacteriaceae,o__Micrococcales,family,f__Microbacteriaceae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,,
g__Leifsonia,f__Microbacteriaceae,genus,g__Leifsonia,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Leifsonia,
g__Paracoccus,f__Rhodobacteraceae,genus,g__Paracoccus,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Paracoccus,
f__Mycobacteriaceae,o__Corynebacteriales,family,f__Mycobacteriaceae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,,
g__Mycobacterium,f__Mycobacteriaceae,genus,g__Mycobacterium,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,
g__Pediococcus,f__Lactobacillaceae,genus,g__Pediococcus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Pediococcus,
o__Desulfuromonadales,c__Deltaproteobacteriae1,order,o__Desulfuromonadales,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Desulfuromonadales,,,
f__Geobacteraceae,o__Desulfuromonadales,family,f__Geobacteraceae,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Desulfuromonadales,f__Geobacteraceae,,
g__Geobacter,f__Geobacteraceae,genus,g__Geobacter,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Desulfuromonadales,f__Geobacteraceae,g__Geobacter,
p__TM6,k__Bacteria,phylum,p__TM6,Root,k__Bacteria,p__TM6,,,,,
c__[Babelacia],p__TM6,class,c__[Babelacia],Root,k__Bacteria,p__TM6,c__[Babelacia],,,,
o__Syntrophobacterales,c__Deltaproteobacteriae1,order,o__Syntrophobacterales,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Syntrophobacterales,,,
f__Syntrophobacteraceae,o__Syntrophobacterales,family,f__Syntrophobacteraceae,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Syntrophobacterales,f__Syntrophobacteraceae,,
g__Syntrophobacter,f__Syntrophobacteraceae,genus,g__Syntrophobacter,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Syntrophobacterales,f__Syntrophobacteraceae,g__Syntrophobacter,
f__Planococcaceae,o__Bacillales,family,f__Planococcaceae,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,,
g__Solibacillus,f__Planococcaceae,genus,g__Solibacillus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Solibacillus,
g__Anabaena_Nostoc,f__Nostocaceae,genus,g__Anabaena_Nostoc,Root,k__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Nostocales,f__Nostocaceae,g__Anabaena_Nostoc,
g__Arcobacter,f__Campylobacteraceae,genus,g__Arcobacter,Root,k__Bacteria,p__[Epsilonae],c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Arcobacter,
s__faecium,g__Enterococcus,species,s__faecium,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__faecium
c__[Brachyspirae],p__Spirochaetes,class,c__[Brachyspirae],Root,k__Bacteria,p__Spirochaetes,c__[Brachyspirae],,,,
o__[Brachyspirales],c__[Brachyspirae],order,o__[Brachyspirales],Root,k__Bacteria,p__Spirochaetes,c__[Brachyspirae],o__[Brachyspirales],,,
f__Brachyspiraceae,o__[Brachyspirales],family,f__Brachyspiraceae,Root,k__Bacteria,p__Spirochaetes,c__[Brachyspirae],o__[Brachyspirales],f__Brachyspiraceae,,
g__Brachyspira,f__Brachyspiraceae,genus,g__Brachyspira,Root,k__Bacteria,p__Spirochaetes,c__[Brachyspirae],o__[Brachyspirales],f__Brachyspiraceae,g__Brachyspira,
c__Crenarchaeota,p__Crenarchaeota,class,c__Crenarchaeota,Root,k__Archaea,p__Crenarchaeota,c__Crenarchaeota,,,,
o__Thermoproteales,c__Crenarchaeota,order,o__Thermoproteales,Root,k__Archaea,p__Crenarchaeota,c__Crenarchaeota,o__Thermoproteales,,,
f__Thermoproteaceae,o__Thermoproteales,family,f__Thermoproteaceae,Root,k__Archaea,p__Crenarchaeota,c__Crenarchaeota,o__Thermoproteales,f__Thermoproteaceae,,
p__Euryarchaeota,k__Archaea,phylum,p__Euryarchaeota,Root,k__Archaea,p__Euryarchaeota,,,,,
c__Thermococci,p__Euryarchaeota,class,c__Thermococci,Root,k__Archaea,p__Euryarchaeota,c__Thermococci,,,,
o__Thermococcales,c__Thermococci,order,o__Thermococcales,Root,k__Archaea,p__Euryarchaeota,c__Thermococci,o__Thermococcales,,,
f__Thermococcaceae,o__Thermococcales,family,f__Thermococcaceae,Root,k__Archaea,p__Euryarchaeota,c__Thermococci,o__Thermococcales,f__Thermococcaceae,,
g__Thermococcus,f__Thermococcaceae,genus,g__Thermococcus,Root,k__Archaea,p__Euryarchaeota,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus,
o__Thermoanaerobacterales,c__Clostridia,order,o__Thermoanaerobacterales,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Thermoanaerobacterales,,,
f__[Thermovenabulaceae],o__Thermoanaerobacterales,family,f__[Thermovenabulaceae],Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Thermoanaerobacterales,f__[Thermovenabulaceae],,
s__suis,g__Streptococcus,species,s__suis,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__suis
f__Thermoanaerobacteraceae,o__Thermoanaerobacterales,family,f__Thermoanaerobacteraceae,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Thermoanaerobacterales,f__Thermoanaerobacteraceae,,
g__Thermoanaerobacterium,f__Thermoanaerobacteraceae,genus,g__Thermoanaerobacterium,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Thermoanaerobacterales,f__Thermoanaerobacteraceae,g__Thermoanaerobacterium,
s__parauberis,g__Streptococcus,species,s__parauberis,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__parauberis
s__parasanguinis,g__Streptococcus,species,s__parasanguinis,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__parasanguinis
s__abscessus_massiliense,g__Mycobacterium,species,s__abscessus_massiliense,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__abscessus_massiliense
c__Erysipelotrichia,p__Firmicutes,class,c__Erysipelotrichia,Root,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,,,,
o__Erysipelotrichales,c__Erysipelotrichia,order,o__Erysipelotrichales,Root,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,,,
f__Erysipelotrichaceae,o__Erysipelotrichales,family,f__Erysipelotrichaceae,Root,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,,
g__Erysipelothrix,f__Erysipelotrichaceae,genus,g__Erysipelothrix,Root,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Erysipelothrix,
g__Photobacterium,f__Vibrionaceae,genus,g__Photobacterium,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Photobacterium,
f__Alcaligenaceae,o__Burkholderiales,family,f__Alcaligenaceae,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,,
g__Alcaligenes_Achromobacter,f__Alcaligenaceae,genus,g__Alcaligenes_Achromobacter,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Alcaligenes_Achromobacter,
g__Novosphingobium,f__Sphingomonadaceae,genus,g__Novosphingobium,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Novosphingobium,
g__Dialister,f__Veillonellaceae,genus,g__Dialister,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,g__Dialister,
s__succinatiphilus,g__Dialister,species,s__succinatiphilus,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,g__Dialister,s__succinatiphilus
f__[Weeksellaceae],o__Flavobacteriales,family,f__[Weeksellaceae],Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__[Weeksellaceae],,
c__Planctomycetia,p__Planctomycetes,class,c__Planctomycetia,Root,k__Bacteria,p__Planctomycetes,c__Planctomycetia,,,,
p__FCB,k__Bacteria,phylum,p__FCB,Root,k__Bacteria,p__FCB,,,,,
c__Chlorobi,p__FCB,class,c__Chlorobi,Root,k__Bacteria,p__FCB,c__Chlorobi,,,,
o__Chlorobia,c__Chlorobi,order,o__Chlorobia,Root,k__Bacteria,p__FCB,c__Chlorobi,o__Chlorobia,,,
f__Chlorobiales,o__Chlorobia,family,f__Chlorobiales,Root,k__Bacteria,p__FCB,c__Chlorobi,o__Chlorobia,f__Chlorobiales,,
p__Bacteria,k__Bacteria,phylum,p__Bacteria,Root,k__Bacteria,p__Bacteria,,,,,
c__Proteobacteria,p__Bacteria,class,c__Proteobacteria,Root,k__Bacteria,p__Bacteria,c__Proteobacteria,,,,
o__Gammaproteobacteria,c__Proteobacteria,order,o__Gammaproteobacteria,Root,k__Bacteria,p__Bacteria,c__Proteobacteria,o__Gammaproteobacteria,,,
f__Chromatiales,o__Gammaproteobacteria,family,f__Chromatiales,Root,k__Bacteria,p__Bacteria,c__Proteobacteria,o__Gammaproteobacteria,f__Chromatiales,,
g__Chromatiaceae,f__Chromatiales,genus,g__Chromatiaceae,Root,k__Bacteria,p__Bacteria,c__Proteobacteria,o__Gammaproteobacteria,f__Chromatiales,g__Chromatiaceae,
c__Bacteroidetes,p__FCB,class,c__Bacteroidetes,Root,k__Bacteria,p__FCB,c__Bacteroidetes,,,,
o__Flavobacteriia,c__Bacteroidetes,order,o__Flavobacteriia,Root,k__Bacteria,p__FCB,c__Bacteroidetes,o__Flavobacteriia,,,
f__Flavobacteriales,o__Flavobacteriia,family,f__Flavobacteriales,Root,k__Bacteria,p__FCB,c__Bacteroidetes,o__Flavobacteriia,f__Flavobacteriales,,
g__Prosthecobacter,f__Verrucomicrobiaceae,genus,g__Prosthecobacter,Root,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__Prosthecobacter,
g__Candidatus_Arthromitus,f__Clostridiaceae,genus,g__Candidatus_Arthromitus,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Candidatus_Arthromitus,
g__Selenomonas,f__Veillonellaceae,genus,g__Selenomonas,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,g__Selenomonas,
f__[Acetivibrionaceae],o__Clostridiales,family,f__[Acetivibrionaceae],Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__[Acetivibrionaceae],,
o__Streptosporangiales,c__Actinobacteria,order,o__Streptosporangiales,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptosporangiales,,,
f__Nocardiopsaceae,o__Streptosporangiales,family,f__Nocardiopsaceae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptosporangiales,f__Nocardiopsaceae,,
p__Chlamydiae,k__Bacteria,phylum,p__Chlamydiae,Root,k__Bacteria,p__Chlamydiae,,,,,
c__Chlamydiia,p__Chlamydiae,class,c__Chlamydiia,Root,k__Bacteria,p__Chlamydiae,c__Chlamydiia,,,,
o__Chlamydiales,c__Chlamydiia,order,o__Chlamydiales,Root,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,,,
f__Chlamydiaceae,o__Chlamydiales,family,f__Chlamydiaceae,Root,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,,
g__Chlamydia,f__Chlamydiaceae,genus,g__Chlamydia,Root,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,
s__trachomatis,g__Chlamydia,species,s__trachomatis,Root,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__trachomatis
f__Moraxellaceae,o__Pseudomonadales,family,f__Moraxellaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,,
g__Acinetobacter,f__Moraxellaceae,genus,g__Acinetobacter,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,
s__baumannii,g__Acinetobacter,species,s__baumannii,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__baumannii
o__Acholeplasmatales,c__Mollicutes,order,o__Acholeplasmatales,Root,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Acholeplasmatales,,,
f__Acholeplasmataceae,o__Acholeplasmatales,family,f__Acholeplasmataceae,Root,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Acholeplasmatales,f__Acholeplasmataceae,,
f__Beijerinckiaceae,o__Rhizobiales,family,f__Beijerinckiaceae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,,
o__Aeromonadales,c__Gammaproteobacteria,order,o__Aeromonadales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,,,
f__Aeromonadaceae,o__Aeromonadales,family,f__Aeromonadaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,,
g__Aeromonas,f__Aeromonadaceae,genus,g__Aeromonas,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Aeromonas,
p__Cloacimonetes,k__Bacteria,phylum,p__Cloacimonetes,Root,k__Bacteria,p__Cloacimonetes,,,,,
c__[Cloacimonia],p__Cloacimonetes,class,c__[Cloacimonia],Root,k__Bacteria,p__Cloacimonetes,c__[Cloacimonia],,,,
o__[Cloacimonales],c__[Cloacimonia],order,o__[Cloacimonales],Root,k__Bacteria,p__Cloacimonetes,c__[Cloacimonia],o__[Cloacimonales],,,
g__Proteiniphilum,f__Porphyromonadaceae,genus,g__Proteiniphilum,Root,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Proteiniphilum,
o__Gastranaerophilales,c__Melainabacteria,order,o__Gastranaerophilales,Root,k__Bacteria,p__Cyanobacteria,c__Melainabacteria,o__Gastranaerophilales,,,
f__Piscirickettsiaceae,o__Thiotrichales,family,f__Piscirickettsiaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Piscirickettsiaceae,,
g__Cycloclasticus,f__Piscirickettsiaceae,genus,g__Cycloclasticus,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Piscirickettsiaceae,g__Cycloclasticus,
g__Variovorax,f__Comamonadaceae,genus,g__Variovorax,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Variovorax,
g__Pectobacterium,f__Enterobacteriaceae,genus,g__Pectobacterium,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Pectobacterium,
o__Myxococcales,c__Deltaproteobacteriae1,order,o__Myxococcales,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Myxococcales,,,
f__Myxococcaceae,o__Myxococcales,family,f__Myxococcaceae,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Myxococcales,f__Myxococcaceae,,
g__Myxococcus,f__Myxococcaceae,genus,g__Myxococcus,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Myxococcales,f__Myxococcaceae,g__Myxococcus,
c__Methanomicrobia,p__Euryarchaeota,class,c__Methanomicrobia,Root,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,,,,
o__Methanomicrobiales,c__Methanomicrobia,order,o__Methanomicrobiales,Root,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,,,
f__Methanomicrobiaceae,o__Methanomicrobiales,family,f__Methanomicrobiaceae,Root,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanomicrobiaceae,,
o__Micromonosporales,c__Actinobacteria,order,o__Micromonosporales,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micromonosporales,,,
f__Micromonosporaceae,o__Micromonosporales,family,f__Micromonosporaceae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,,
g__Actinoplanes,f__Micromonosporaceae,genus,g__Actinoplanes,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__Actinoplanes,
s__jensenii,g__Lactobacillus,species,s__jensenii,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__jensenii
s__avium,g__Mycobacterium,species,s__avium,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__avium
c__Thermoplasmata,p__Euryarchaeota,class,c__Thermoplasmata,Root,k__Archaea,p__Euryarchaeota,c__Thermoplasmata,,,,
o__Thermoplasmatales,c__Thermoplasmata,order,o__Thermoplasmatales,Root,k__Archaea,p__Euryarchaeota,c__Thermoplasmata,o__Thermoplasmatales,,,
f__Thermoplasmataceae,o__Thermoplasmatales,family,f__Thermoplasmataceae,Root,k__Archaea,p__Euryarchaeota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,,
c__Halobacteria,p__Euryarchaeota,class,c__Halobacteria,Root,k__Archaea,p__Euryarchaeota,c__Halobacteria,,,,
o__Halobacteriales,c__Halobacteria,order,o__Halobacteriales,Root,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,,,
f__Halobacteriaceae,o__Halobacteriales,family,f__Halobacteriaceae,Root,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,,
g__Serratia,f__Enterobacteriaceae,genus,g__Serratia,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Serratia,
g__Methyloversatilis,f__Rhodocyclaceae,genus,g__Methyloversatilis,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Methyloversatilis,
c__Acidimicrobiia,p__Actinobacteria,class,c__Acidimicrobiia,Root,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,,,,
o__Acidimicrobiales,c__Acidimicrobiia,order,o__Acidimicrobiales,Root,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,,,
f__Acidimicrobiaceae,o__Acidimicrobiales,family,f__Acidimicrobiaceae,Root,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__Acidimicrobiaceae,,
g__Acetobacter,f__Acetobacteraceae,genus,g__Acetobacter,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__Acetobacter,
g__Wolbachia,f__Rickettsiaceae,genus,g__Wolbachia,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Rickettsiaceae,g__Wolbachia,
p__Aquificae,k__Bacteria,phylum,p__Aquificae,Root,k__Bacteria,p__Aquificae,,,,,
c__Aquificae,p__Aquificae,class,c__Aquificae,Root,k__Bacteria,p__Aquificae,c__Aquificae,,,,
o__Aquificales,c__Aquificae,order,o__Aquificales,Root,k__Bacteria,p__Aquificae,c__Aquificae,o__Aquificales,,,
f__Hydrogenothermaceae,o__Aquificales,family,f__Hydrogenothermaceae,Root,k__Bacteria,p__Aquificae,c__Aquificae,o__Aquificales,f__Hydrogenothermaceae,,
g__Sulfurihydrogenibium,f__Hydrogenothermaceae,genus,g__Sulfurihydrogenibium,Root,k__Bacteria,p__Aquificae,c__Aquificae,o__Aquificales,f__Hydrogenothermaceae,g__Sulfurihydrogenibium,
g__Methylosinus,f__Methylocystaceae,genus,g__Methylosinus,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__Methylosinus,
o__Haloplasmatales,c__Mollicutes,order,o__Haloplasmatales,Root,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Haloplasmatales,,,
f__Haloplasmataceae,o__Haloplasmatales,family,f__Haloplasmataceae,Root,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Haloplasmatales,f__Haloplasmataceae,,
g__Turicibacter,f__Haloplasmataceae,genus,g__Turicibacter,Root,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Haloplasmatales,f__Haloplasmataceae,g__Turicibacter,
c__Coriobacteriia,p__Actinobacteria,class,c__Coriobacteriia,Root,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,,,,
o__Coriobacteriales,c__Coriobacteriia,order,o__Coriobacteriales,Root,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,,,
f__Coriobacteriaceae,o__Coriobacteriales,family,f__Coriobacteriaceae,Root,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,,
g__Atopobium,f__Coriobacteriaceae,genus,g__Atopobium,Root,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Atopobium,
f__Bartonellaceae,o__Rhizobiales,family,f__Bartonellaceae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bartonellaceae,,
g__Bartonella,f__Bartonellaceae,genus,g__Bartonella,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bartonellaceae,g__Bartonella,
s__fragilis,g__Bacteroides,species,s__fragilis,Root,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__fragilis
o__Bdellovibrionales,c__Deltaproteobacteriae1,order,o__Bdellovibrionales,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Bdellovibrionales,,,
f__Bdellovibrionaceae,o__Bdellovibrionales,family,f__Bdellovibrionaceae,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Bdellovibrionales,f__Bdellovibrionaceae,,
g__Bdellovibrio,f__Bdellovibrionaceae,genus,g__Bdellovibrio,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,
o__Desulfobacterales,c__Deltaproteobacteriae1,order,o__Desulfobacterales,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Desulfobacterales,,,
f__Desulfobacteraceae,o__Desulfobacterales,family,f__Desulfobacteraceae,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Desulfobacterales,f__Desulfobacteraceae,,
g__Desulfatibacillum,f__Desulfobacteraceae,genus,g__Desulfatibacillum,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Desulfobacterales,f__Desulfobacteraceae,g__Desulfatibacillum,
f__Peptococcaceae,o__Clostridiales,family,f__Peptococcaceae,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,,
g__Desulfitobacterium,f__Peptococcaceae,genus,g__Desulfitobacterium,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,g__Desulfitobacterium,
s__hafniense,g__Desulfitobacterium,species,s__hafniense,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,g__Desulfitobacterium,s__hafniense
f__[Thermaerobacteraceae],o__Clostridiales,family,f__[Thermaerobacteraceae],Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__[Thermaerobacteraceae],,
