tax_id,parent_id,rank,tax_name,root,kingdom,phylum,class,order,family,genus,species
o__Thiotrichales,c__Gammaproteobacteria,order,o__Thiotrichales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,,,
f__Francisellaceae,o__Thiotrichales,family,f__Francisellaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Francisellaceae,,
g__Francisella,f__Francisellaceae,genus,g__Francisella,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Francisellaceae,g__Francisella,
s__tularensis,g__Francisella,species,s__tularensis,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Francisellaceae,g__Francisella,s__tularensis
g__Sulfitobacter,f__Rhodobacteraceae,genus,g__Sulfitobacter,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Sulfitobacter,
o__Pseudomonadales,c__Gammaproteobacteria,order,o__Pseudomonadales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,,,
f__Pseudomonadaceae,o__Pseudomonadales,family,f__Pseudomonadaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,,
g__Pseudomonas,f__Pseudomonadaceae,genus,g__Pseudomonas,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,
f__Ectothiorhodospiraceae,o__Chromatiales,family,f__Ectothiorhodospiraceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Ectothiorhodospiraceae,,
g__Ectothiorhodospira,f__Ectothiorhodospiraceae,genus,g__Ectothiorhodospira,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Ectothiorhodospiraceae,g__Ectothiorhodospira,
s__hominis,g__Staphylococcus,species,s__hominis,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__hominis
g__Agrobacterium,f__Rhizobiaceae,genus,g__Agrobacterium,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Agrobacterium,
f__Sulfobacillaceae,o__Clostridiales,family,f__Sulfobacillaceae,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Sulfobacillaceae,,
g__Sulfobacillus,f__Sulfobacillaceae,genus,g__Sulfobacillus,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Sulfobacillaceae,g__Sulfobacillus,
c__Deltaproteobacteriae1,p__Proteobacteria,class,c__Deltaproteobacteriae1,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,,,,
o__Desulfovibrionales,c__Deltaproteobacteriae1,order,o__Desulfovibrionales,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Desulfovibrionales,,,
f__Desulfovibrionaceae,o__Desulfovibrionales,family,f__Desulfovibrionaceae,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Desulfovibrionales,f__Desulfovibrionaceae,,
g__Desulfovibrio,f__Desulfovibrionaceae,genus,g__Desulfovibrio,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteriae1,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,
c__Cytophagia,p__Bacteroidetes,class,c__Cytophagia,Root,k__Bacteria,p__Bacteroidetes,c__Cytophagia,,,,
o__Cytophagales,c__Cytophagia,order,o__Cytophagales,Root,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,,,
f__Cytophagaceae,o__Cytophagales,family,f__Cytophagaceae,Root,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,,
g__Hymenobacter,f__Cytophagaceae,genus,g__Hymenobacter,Root,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__Hymenobacter,
g__Oenococcus,f__Lactobacillaceae,genus,g__Oenococcus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Oenococcus,
s__oeni,g__Oenococcus,species,s__oeni,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Oenococcus,s__oeni
o__Streptomycetales,c__Actinobacteria,order,o__Streptomycetales,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,,,
f__Streptomycetaceae,o__Streptomycetales,family,f__Streptomycetaceae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,,
g__Streptomyces,f__Streptomycetaceae,genus,g__Streptomyces,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,
f__Brucellaceae,o__Rhizobiales,family,f__Brucellaceae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Brucellaceae,,
g__Brucella,f__Brucellaceae,genus,g__Brucella,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Brucellaceae,g__Brucella,
o__Rickettsiales,c__Alphaproteobacteria,order,o__Rickettsiales,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,,,
f__Rickettsiaceae,o__Rickettsiales,family,f__Rickettsiaceae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Rickettsiaceae,,
g__Rickettsia,f__Rickettsiaceae,genus,g__Rickettsia,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Rickettsiaceae,g__Rickettsia,
s__pneumoniae,g__Streptococcus,species,s__pneumoniae,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__pneumoniae
